Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Starting Salary,Current Salary,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,284,4,Male,60,4,1,Research Scientist,2,Divorced,9312,49568,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,2
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,20836,79040,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
30,No,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,69,3,3,Sales Executive,1,Married,33648,11560,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,Female,30,4,4,Manager,4,Single,69312,55484,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
43,No,Travel_Rarely,782,Research & Development,6,4,Other,1,661,2,Male,50,2,4,Research Director,4,Divorced,66508,10684,4,Y,Yes,14,3,3,80,1,21,3,2,1,0,0,0
46,No,Travel_Rarely,717,Research & Development,13,4,Life Sciences,1,1727,3,Male,34,3,2,Healthcare Representative,2,Single,22248,38788,6,Y,No,14,3,4,80,0,19,3,3,10,7,0,9
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,Male,98,2,1,Laboratory Technician,1,Married,8872,64772,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2
47,No,Travel_Frequently,217,Sales,3,3,Medical,1,746,4,Female,49,3,4,Sales Executive,3,Divorced,55080,40900,9,Y,Yes,12,3,4,80,2,28,2,2,22,2,11,13
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,21892,98672,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
39,No,Non-Travel,792,Research & Development,1,3,Life Sciences,1,1737,4,Male,77,3,2,Laboratory Technician,4,Married,25888,35956,1,Y,Yes,15,3,4,80,1,9,2,3,9,8,5,8
41,No,Travel_Rarely,314,Human Resources,1,3,Human Resources,1,734,4,Male,59,2,5,Manager,3,Married,76756,78248,1,Y,No,12,3,2,80,1,22,3,3,22,7,2,10
24,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,888,1,Male,46,2,1,Laboratory Technician,4,Married,12648,43112,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,18232,54140,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8
36,No,Non-Travel,217,Research & Development,18,4,Life Sciences,1,1133,1,Male,78,3,2,Manufacturing Director,4,Single,31116,92952,2,Y,No,20,4,1,80,0,18,0,3,11,9,0,9
47,Yes,Travel_Frequently,1093,Sales,9,3,Life Sciences,1,1716,3,Male,82,1,4,Sales Executive,3,Married,51744,96656,7,Y,No,11,3,3,80,0,25,3,1,23,5,14,10
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,19236,49928,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
45,No,Travel_Rarely,1457,Research & Development,7,3,Medical,1,1195,1,Female,83,3,1,Research Scientist,3,Married,17908,80400,4,Y,Yes,19,3,3,80,1,7,2,2,3,2,0,2
29,No,Travel_Rarely,665,Research & Development,15,3,Life Sciences,1,346,3,Male,60,3,1,Research Scientist,4,Single,9360,90692,1,Y,No,19,3,1,80,0,6,1,3,6,5,1,5
34,No,Travel_Rarely,628,Research & Development,8,3,Medical,1,2068,2,Male,82,4,2,Laboratory Technician,3,Married,17616,40912,2,Y,No,12,3,1,80,0,6,3,4,4,3,1,2
55,No,Non-Travel,177,Research & Development,8,1,Medical,1,1278,4,Male,37,2,4,Healthcare Representative,2,Divorced,54308,102368,1,Y,Yes,15,3,4,80,1,34,3,3,33,9,15,0
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,76376,42940,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
31,No,Travel_Frequently,793,Sales,20,3,Life Sciences,1,1135,3,Male,67,4,1,Sales Representative,4,Married,11164,87924,0,Y,No,12,3,1,80,1,3,4,3,2,2,2,2
52,No,Travel_Rarely,621,Sales,3,4,Marketing,1,776,3,Male,31,2,4,Manager,1,Married,67424,40336,1,Y,No,11,3,1,80,0,34,3,4,34,6,1,16
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,1,454,2,Male,77,1,1,Laboratory Technician,1,Married,8476,19036,1,Y,Yes,11,3,4,80,0,7,4,2,7,7,0,7
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,11096,53028,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
53,Yes,Travel_Rarely,1168,Sales,24,4,Life Sciences,1,1968,1,Male,66,3,3,Sales Executive,1,Single,41792,23372,6,Y,Yes,13,3,2,80,0,15,2,2,2,2,2,2
32,No,Travel_Rarely,801,Sales,1,4,Marketing,1,2016,3,Female,48,3,3,Sales Executive,4,Married,41688,96128,1,Y,No,19,3,3,80,2,14,3,3,14,10,5,7
39,No,Travel_Rarely,867,Research & Development,9,2,Medical,1,1936,1,Male,87,3,2,Manufacturing Director,1,Married,20604,49260,1,Y,No,25,4,4,80,1,10,3,3,10,0,7,9
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,38104,35148,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
40,No,Non-Travel,458,Research & Development,16,2,Life Sciences,1,1340,3,Male,74,3,1,Research Scientist,3,Divorced,14176,34128,9,Y,No,16,3,2,80,1,6,0,3,4,2,0,0
28,No,Travel_Frequently,773,Research & Development,6,3,Life Sciences,1,1154,3,Male,39,2,1,Research Scientist,3,Divorced,10812,88352,1,Y,Yes,14,3,4,80,1,3,2,3,3,1,0,2
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,193,4,Female,32,3,2,Research Scientist,3,Single,17268,9208,3,Y,Yes,20,4,2,80,0,19,2,3,3,2,2,2
41,No,Travel_Rarely,263,Research & Development,6,3,Medical,1,957,4,Male,59,3,1,Laboratory Technician,1,Single,18884,12476,2,Y,Yes,13,3,3,80,0,20,3,3,18,13,2,17
34,No,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,1,683,2,Male,42,3,1,Research Scientist,4,Married,10764,30640,1,Y,No,12,3,4,80,1,10,4,2,10,9,8,8
34,Yes,Non-Travel,967,Research & Development,16,4,Technical Degree,1,1905,4,Male,85,1,1,Research Scientist,1,Married,9228,57840,1,Y,Yes,23,4,2,80,1,5,2,3,5,2,3,0
35,No,Travel_Rarely,1343,Research & Development,27,1,Medical,1,856,3,Female,53,2,1,Research Scientist,1,Single,10236,71408,1,Y,No,11,3,4,80,0,6,3,2,6,5,1,1
33,No,Travel_Frequently,1303,Research & Development,7,2,Life Sciences,1,1970,4,Male,36,3,2,Healthcare Representative,3,Divorced,23872,72316,1,Y,No,20,4,3,80,3,9,2,3,9,7,2,8
39,No,Travel_Frequently,766,Sales,20,3,Life Sciences,1,1812,3,Male,83,3,2,Sales Executive,4,Divorced,16508,76752,2,Y,No,18,3,4,80,1,7,6,3,2,1,2,2
41,No,Travel_Rarely,548,Research & Development,9,4,Life Sciences,1,1772,3,Male,94,3,1,Laboratory Technician,1,Divorced,9156,82080,1,Y,No,20,4,2,80,2,5,2,3,5,3,0,4
38,No,Travel_Frequently,1189,Research & Development,1,3,Life Sciences,1,1668,4,Male,90,3,2,Research Scientist,4,Married,18940,39468,7,Y,No,15,3,4,80,2,19,4,4,13,11,2,9
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,Female,43,1,2,Manufacturing Director,4,Single,24364,99172,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2
42,No,Travel_Rarely,647,Sales,4,4,Marketing,1,1171,2,Male,45,3,2,Sales Executive,1,Single,20620,9012,7,Y,No,13,3,4,80,0,9,3,4,6,4,1,5
45,No,Non-Travel,805,Research & Development,4,2,Life Sciences,1,972,3,Male,57,3,2,Laboratory Technician,2,Married,17788,92652,1,Y,No,12,3,2,80,0,9,5,2,9,7,0,8
33,No,Travel_Rarely,213,Research & Development,7,3,Medical,1,817,3,Male,49,3,3,Research Director,3,Married,46764,103980,0,Y,No,11,3,4,80,0,14,3,4,13,9,3,7
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,10772,53340,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
32,No,Travel_Frequently,379,Sales,5,2,Life Sciences,1,889,2,Male,48,3,2,Sales Executive,2,Married,26096,35564,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3
37,No,Non-Travel,1413,Research & Development,5,2,Technical Degree,1,1440,3,Male,84,4,1,Laboratory Technician,3,Single,14000,101880,0,Y,No,14,3,1,80,0,7,2,1,6,5,1,3
37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,623,2,Female,59,3,3,Manufacturing Director,4,Single,29964,95392,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2
41,No,Travel_Rarely,896,Sales,6,3,Life Sciences,1,298,4,Female,75,3,3,Manager,4,Single,54364,58696,3,Y,Yes,18,3,3,80,0,16,3,3,1,0,0,0
32,Yes,Travel_Frequently,238,Research & Development,5,2,Life Sciences,1,1939,1,Female,47,4,1,Research Scientist,3,Single,9728,61272,3,Y,Yes,14,3,1,80,0,8,2,3,4,1,0,3
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,1,260,4,Female,99,3,1,Research Scientist,2,Single,9116,47124,1,Y,No,16,3,4,80,0,7,2,2,7,7,0,3
33,No,Travel_Rarely,117,Research & Development,9,3,Medical,1,1238,1,Male,60,3,1,Research Scientist,4,Married,11124,25244,0,Y,No,13,3,2,80,1,15,5,3,14,10,4,10
32,No,Travel_Rarely,117,Sales,13,4,Life Sciences,1,859,2,Male,73,3,2,Sales Executive,4,Divorced,17612,37000,2,Y,No,11,3,3,80,1,8,3,2,5,2,0,3
50,No,Travel_Frequently,1421,Research & Development,2,3,Medical,1,1215,4,Female,30,3,4,Manager,1,Married,71424,37960,2,Y,No,22,4,3,80,1,32,3,3,2,2,2,2
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,21504,12772,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
30,No,Travel_Rarely,1138,Research & Development,6,3,Technical Degree,1,1311,1,Female,48,2,2,Laboratory Technician,4,Married,18508,94524,0,Y,No,12,3,1,80,1,10,6,3,9,2,6,7
34,No,Travel_Frequently,735,Research & Development,22,4,Other,1,1932,3,Male,86,2,2,Research Scientist,4,Married,22988,105984,1,Y,Yes,15,3,2,80,0,16,3,3,15,10,6,11
27,No,Non-Travel,691,Research & Development,9,3,Medical,1,218,4,Male,57,3,1,Research Scientist,2,Divorced,8096,23880,6,Y,No,18,3,4,80,1,6,1,1,2,2,2,2
40,No,Travel_Rarely,611,Sales,7,4,Medical,1,1740,2,Male,88,3,5,Manager,2,Single,79332,17396,1,Y,No,14,3,2,80,0,21,3,2,21,8,12,8
44,Yes,Travel_Frequently,920,Research & Development,24,3,Life Sciences,1,392,4,Male,43,3,1,Laboratory Technician,3,Divorced,12644,79680,3,Y,Yes,22,4,4,80,1,19,0,1,1,0,0,0
52,Yes,Travel_Rarely,266,Sales,2,1,Marketing,1,1038,1,Female,57,1,5,Manager,4,Married,79380,103384,1,Y,No,15,3,4,80,1,33,3,3,32,14,6,9
48,No,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,1,1024,3,Male,78,2,3,Healthcare Representative,3,Single,43996,88980,7,Y,No,14,3,2,80,0,27,3,3,15,11,4,8
21,Yes,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single,10500,101232,1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2
38,No,Travel_Rarely,827,Research & Development,1,4,Life Sciences,1,724,2,Female,33,4,2,Healthcare Representative,4,Single,30500,77532,0,Y,No,13,3,3,80,0,10,4,2,9,7,1,8
49,No,Travel_Frequently,1023,Sales,2,3,Medical,1,2065,4,Male,63,2,2,Sales Executive,2,Married,21560,52972,2,Y,No,14,3,4,80,0,17,3,2,9,6,0,8
53,No,Travel_Rarely,661,Sales,7,2,Marketing,1,862,1,Female,78,2,3,Sales Executive,4,Married,43736,82860,7,Y,Yes,18,3,4,80,1,35,3,3,5,2,0,4
45,No,Travel_Rarely,1448,Research & Development,29,3,Technical Degree,1,1465,2,Male,55,3,3,Manufacturing Director,4,Married,37520,58880,4,Y,Yes,18,3,4,80,2,10,4,4,3,1,1,2
20,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,11892,52032,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,Male,97,2,2,Healthcare Representative,2,Single,26160,77576,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
35,No,Travel_Rarely,1349,Research & Development,7,2,Life Sciences,1,1601,3,Male,63,2,1,Laboratory Technician,4,Married,10760,30852,1,Y,No,18,3,4,80,1,1,5,2,1,0,0,1
29,No,Travel_Frequently,574,Research & Development,20,1,Medical,1,1852,4,Male,40,3,1,Laboratory Technician,4,Married,15248,28012,1,Y,No,13,3,2,80,0,11,3,4,11,8,3,10
35,No,Travel_Rarely,1232,Sales,16,3,Marketing,1,406,3,Male,96,3,3,Sales Executive,2,Married,32080,20400,0,Y,No,15,3,3,80,2,12,3,2,11,9,6,9
31,Yes,Travel_Rarely,330,Research & Development,22,4,Medical,1,1389,4,Male,98,3,2,Manufacturing Director,3,Married,24716,84228,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7
33,No,Travel_Rarely,1242,Sales,8,4,Life Sciences,1,1560,1,Male,46,3,2,Sales Executive,1,Married,25568,42356,2,Y,No,13,3,4,80,1,8,6,1,2,2,2,2
25,No,Travel_Frequently,772,Research & Development,2,1,Life Sciences,1,1653,4,Male,77,4,2,Manufacturing Director,3,Divorced,20824,19892,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,38476,54384,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
30,No,Travel_Rarely,305,Research & Development,16,3,Life Sciences,1,1763,3,Male,58,4,2,Healthcare Representative,3,Married,21176,36512,3,Y,No,16,3,3,80,1,10,3,3,7,0,1,7
36,No,Travel_Rarely,311,Research & Development,7,3,Life Sciences,1,1659,1,Male,77,3,1,Laboratory Technician,2,Single,8052,43800,2,Y,No,11,3,3,80,0,15,4,3,4,3,1,3
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,12136,107656,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17
39,No,Travel_Rarely,1132,Research & Development,1,3,Medical,1,417,3,Male,48,4,3,Healthcare Representative,4,Divorced,38452,43768,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7
31,No,Non-Travel,325,Research & Development,5,3,Medical,1,2057,2,Male,74,3,2,Manufacturing Director,1,Single,39744,15148,0,Y,No,19,3,2,80,0,10,2,3,9,4,1,7
33,Yes,Travel_Rarely,813,Research & Development,14,3,Medical,1,325,3,Male,58,3,1,Laboratory Technician,4,Married,9744,88596,5,Y,Yes,13,3,3,80,1,8,2,1,5,4,0,4
43,No,Travel_Frequently,1082,Research & Development,27,3,Life Sciences,1,1126,3,Female,83,3,3,Manufacturing Director,1,Married,43280,46140,8,Y,No,11,3,3,80,1,18,1,3,8,7,0,1
24,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,9600,22120,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1
29,No,Travel_Frequently,1404,Sales,20,3,Technical Degree,1,974,3,Female,84,3,1,Sales Representative,4,Married,8628,72812,1,Y,No,15,3,2,80,1,3,5,3,3,1,0,2
34,No,Travel_Rarely,204,Sales,14,3,Technical Degree,1,666,3,Female,31,3,1,Sales Representative,3,Divorced,10316,11648,1,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6
26,No,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,384,3,Female,84,3,2,Manufacturing Director,2,Divorced,25588,107068,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4
54,No,Travel_Rarely,584,Research & Development,22,5,Medical,1,1665,2,Female,91,3,4,Manager,3,Married,69704,74740,3,Y,No,25,4,3,80,1,36,6,3,10,8,4,7
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,10304,81960,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,53832,60584,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,1,351,4,Female,56,2,1,Laboratory Technician,1,Divorced,10372,32028,0,Y,Yes,11,3,3,80,1,10,4,3,9,6,7,8
46,No,Travel_Rarely,734,Research & Development,2,4,Medical,1,1789,3,Male,46,3,5,Research Director,4,Divorced,77312,56872,7,Y,Yes,17,3,3,80,1,24,3,3,2,1,2,2
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,374,4,Male,81,3,5,Manager,1,Single,76180,75752,0,Y,Yes,14,3,3,80,0,37,2,3,36,10,4,13
42,Yes,Travel_Frequently,933,Research & Development,19,3,Medical,1,752,3,Male,57,4,1,Research Scientist,3,Divorced,11036,81464,6,Y,Yes,12,3,4,80,0,7,2,3,2,2,2,2
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,274,3,Male,60,2,2,Manufacturing Director,1,Married,17192,38716,5,Y,No,19,3,3,80,1,6,1,3,2,2,2,0
